Year,Quarter,New Vehicles
2011,1,198
2011,2,198
2011,3,198
2011,4,200
2012,1,99
2012,2,89
2012,3,321
2012,4,2400
2013,1,4900
2013,2,5150
2013,3,5500
2013,4,6892
2014,1,6457
2014,2,7579
2014,3,7785
2014,4,9834
2015,1,10045
2015,2,11532
2015,3,11603
2015,4,17478
2016,1,14810
2016,2,14402
2016,3,24821
2016,4,22252
2017,1,25051
2017,2,22026
2017,3,26137
2017,4,29967
2018,1,29997
2018,2,53339
2018,3,83500
2018,4,90700
2019,1,77100
2019,2,87048
2019,3,96155
2019,4,104819
2020,1,102672
2020,2,82272
2020,3,145036
2020,4,179757
2021,1,180338
2021,2,206421
2021,3,237823
2021,4,305840
